filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur	kur li	control	2
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pur	kur li	kur li	kur li	kur li	control	2
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur pur	kur li	kur li	kur li	kur li	control	2
13.png	sin	book	yellow	cent	no	no	no	yan	yak	yak	yak	yak	yak	control	2
13d.png	sin	book	yellow	cent	no	no	no	yan	yak	yak	yak	yak	yak	control	2
14.png	sin	book	blue	cent	no	no	no	yan	yak	yak	yak	yak	yak	control	2
14d.png	sin	book	blue	cent	no	no	no	yan	yak	yak	yak	yak	yak	control	2
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	yak li	yak lo	yak li	pur li	yak li	control	2
15.png	rel	book	yellow	right	pen	blue	left	yan li	yak li	yak li	yak li	yak li	yak li	control	2
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	yak pur	yap li	yak pur	yak	yak li	control	2
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yak pur	yak pur	yak pur	yak li	yak li	control	2
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meeb	control	3
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meeb li	control	3
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meeb	control	3
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meeb	meeb	meeb ku	control	3
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meeb li	meeb li	meeb li	meeb li	meeb li	control	3
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb li	meeb li	meeb li	meeb li	control	3
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meeb ku	meeb ku	meeb ku	meeb ku	control	3
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pu	meeb ku	meeb ku	meeb ku	meeb ku	control	3
05.png	sin	cup	yellow	cent	no	no	no	fop	fop li	fop	fop	fob	yan li	control	3
05d.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop	fop li	fob	yan li	control	3
06.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	fop pu	fob	yan ku	control	3
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	fop	fob	yan ku	control	3
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	fop li	fop li	fob li	 yen li	control	3
